Totales Territoriales	Comunidades y Ciudades Autónomas	Provincias	Viajeros y pernoctaciones	Residencia: Nivel 1	Residencia: Nivel 2	Periodo	Total
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2022M11	12.693
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2022M10	26.150
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2022M09	34.974
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2022M08	41.392
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2022M07	39.566
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2022M06	32.084
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2022M05	28.431
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2022M04	19.025
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2022M03	13.274
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2022M02	10.284
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2022M01	9.007
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2021M12	9.503
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2021M11	10.937
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2021M10	21.944
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2021M09	26.258
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2021M08	20.009
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2021M07	16.631
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2021M06	10.941
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2021M05	5.832
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2021M04	3.440
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2021M03	2.777
