Tipo de dato	Agregados macroeconómicos: Nivel 1	Agregados macroeconómicos: Nivel 2	Niveles y tasas	Periodo	Total
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2017T4	33.569
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2017T3	32.412
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2017T2	32.150
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2017T1	31.912
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2016T4	31.099
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2016T3	30.841
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2016T2	30.526
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2016T1	30.530
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2015T4	30.294
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2015T3	30.016
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2015T2	29.830
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2015T1	29.592
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2025T3	22.558
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2025T2	22.255
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2025T1	21.247
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2024T4	20.769
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2024T3	20.713
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2024T2	21.062
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2024T1	20.299
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2023T4	19.862
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2023T3	19.909
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2023T2	19.964
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2023T1	19.084
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2022T4	18.798
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2022T3	18.756
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2022T2	18.211
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2022T1	17.300
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2021T4	16.703
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2021T3	16.446
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2021T2	16.487
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2021T1	15.908
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2020T4	16.504
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2020T3	16.635
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2020T2	13.993
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2020T1	16.568
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2019T4	18.822
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2019T3	18.511
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2019T2	18.370
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2019T1	18.071
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2018T4	17.355
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2018T3	16.962
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2018T2	16.526
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2018T1	16.301
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2017T4	16.333
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2017T3	16.096
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2017T2	16.026
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2017T1	15.778
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2016T4	15.554
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2016T3	15.564
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2016T2	15.327
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2016T1	15.299
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2015T4	15.034
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2015T3	14.803
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2015T2	14.640
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2015T1	14.447
Datos ajustados de estacionalidad y calendario	VABpb Servicios (G-T, CNAE 2009)		Dato base	2025T3	290.355
Datos ajustados de estacionalidad y calendario	VABpb Servicios (G-T, CNAE 2009)		Dato base	2025T2	286.759
Datos ajustados de estacionalidad y calendario	VABpb Servicios (G-T, CNAE 2009)		Dato base	2025T1	282.138
Datos ajustados de estacionalidad y calendario	VABpb Servicios (G-T, CNAE 2009)		Dato base	2024T4	279.693
Datos ajustados de estacionalidad y calendario	VABpb Servicios (G-T, CNAE 2009)		Dato base	2024T3	276.301
Datos ajustados de estacionalidad y calendario	VABpb Servicios (G-T, CNAE 2009)		Dato base	2024T2	272.732
Datos ajustados de estacionalidad y calendario	VABpb Servicios (G-T, CNAE 2009)		Dato base	2024T1	269.808
Datos ajustados de estacionalidad y calendario	VABpb Servicios (G-T, CNAE 2009)		Dato base	2023T4	267.773
Datos ajustados de estacionalidad y calendario	VABpb Servicios (G-T, CNAE 2009)		Dato base	2023T3	258.158
Datos ajustados de estacionalidad y calendario	VABpb Servicios (G-T, CNAE 2009)		Dato base	2023T2	252.434
Datos ajustados de estacionalidad y calendario	VABpb Servicios (G-T, CNAE 2009)		Dato base	2023T1	250.435
Datos ajustados de estacionalidad y calendario	VABpb Servicios (G-T, CNAE 2009)		Dato base	2022T4	247.899
Datos ajustados de estacionalidad y calendario	VABpb Servicios (G-T, CNAE 2009)		Dato base	2022T3	232.147
Datos ajustados de estacionalidad y calendario	VABpb Servicios (G-T, CNAE 2009)		Dato base	2022T2	227.788
Datos ajustados de estacionalidad y calendario	VABpb Servicios (G-T, CNAE 2009)		Dato base	2022T1	222.272
Datos ajustados de estacionalidad y calendario	VABpb Servicios (G-T, CNAE 2009)		Dato base	2021T4	218.408
Datos ajustados de estacionalidad y calendario	VABpb Servicios (G-T, CNAE 2009)		Dato base	2021T3	209.140
Datos ajustados de estacionalidad y calendario	VABpb Servicios (G-T, CNAE 2009)		Dato base	2021T2	203.891
Datos ajustados de estacionalidad y calendario	VABpb Servicios (G-T, CNAE 2009)		Dato base	2021T1	201.949
Datos ajustados de estacionalidad y calendario	VABpb Servicios (G-T, CNAE 2009)		Dato base	2020T4	197.976
Datos ajustados de estacionalidad y calendario	VABpb Servicios (G-T, CNAE 2009)		Dato base	2020T3	193.959
Datos ajustados de estacionalidad y calendario	VABpb Servicios (G-T, CNAE 2009)		Dato base	2020T2	171.290
Datos ajustados de estacionalidad y calendario	VABpb Servicios (G-T, CNAE 2009)		Dato base	2020T1	209.103
Datos ajustados de estacionalidad y calendario	VABpb Servicios (G-T, CNAE 2009)		Dato base	2019T4	217.439
Datos ajustados de estacionalidad y calendario	VABpb Servicios (G-T, CNAE 2009)		Dato base	2019T3	212.940
Datos ajustados de estacionalidad y calendario	VABpb Servicios (G-T, CNAE 2009)		Dato base	2019T2	213.006
Datos ajustados de estacionalidad y calendario	VABpb Servicios (G-T, CNAE 2009)		Dato base	2019T1	212.527
Datos ajustados de estacionalidad y calendario	VABpb Servicios (G-T, CNAE 2009)		Dato base	2018T4	209.900
Datos ajustados de estacionalidad y calendario	VABpb Servicios (G-T, CNAE 2009)		Dato base	2018T3	207.417
Datos ajustados de estacionalidad y calendario	VABpb Servicios (G-T, CNAE 2009)		Dato base	2018T2	205.402
Datos ajustados de estacionalidad y calendario	VABpb Servicios (G-T, CNAE 2009)		Dato base	2018T1	203.093
Datos ajustados de estacionalidad y calendario	VABpb Servicios (G-T, CNAE 2009)		Dato base	2017T4	201.548
Datos ajustados de estacionalidad y calendario	VABpb Servicios (G-T, CNAE 2009)		Dato base	2017T3	199.691
Datos ajustados de estacionalidad y calendario	VABpb Servicios (G-T, CNAE 2009)		Dato base	2017T2	198.857
Datos ajustados de estacionalidad y calendario	VABpb Servicios (G-T, CNAE 2009)		Dato base	2017T1	195.335
Datos ajustados de estacionalidad y calendario	VABpb Servicios (G-T, CNAE 2009)		Dato base	2016T4	193.346
Datos ajustados de estacionalidad y calendario	VABpb Servicios (G-T, CNAE 2009)		Dato base	2016T3	192.412
Datos ajustados de estacionalidad y calendario	VABpb Servicios (G-T, CNAE 2009)		Dato base	2016T2	190.400
Datos ajustados de estacionalidad y calendario	VABpb Servicios (G-T, CNAE 2009)		Dato base	2016T1	189.351
Datos ajustados de estacionalidad y calendario	VABpb Servicios (G-T, CNAE 2009)		Dato base	2015T4	187.584
Datos ajustados de estacionalidad y calendario	VABpb Servicios (G-T, CNAE 2009)		Dato base	2015T3	186.370
Datos ajustados de estacionalidad y calendario	VABpb Servicios (G-T, CNAE 2009)		Dato base	2015T2	184.410
Datos ajustados de estacionalidad y calendario	VABpb Servicios (G-T, CNAE 2009)		Dato base	2015T1	183.381
Datos ajustados de estacionalidad y calendario	VABpb Servicios (G-T, CNAE 2009)	VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009)	Dato base	2025T3	95.132
Datos ajustados de estacionalidad y calendario	VABpb Servicios (G-T, CNAE 2009)	VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009)	Dato base	2025T2	93.831
Datos ajustados de estacionalidad y calendario	VABpb Servicios (G-T, CNAE 2009)	VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009)	Dato base	2025T1	91.324
