Totales Territoriales	Comunidades y Ciudades Autónomas	Ramas de actividad	Periodo	Total
Total Nacional	05 Canarias	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2011	39.611.706
Total Nacional	05 Canarias	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2010	39.738.165
Total Nacional	05 Canarias	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2009	39.505.370
Total Nacional	05 Canarias	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2008	41.156.055
Total Nacional	05 Canarias	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2007	39.902.031
Total Nacional	05 Canarias	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2006	37.445.827
Total Nacional	05 Canarias	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2005	35.103.749
Total Nacional	05 Canarias	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2004	32.847.221
Total Nacional	05 Canarias	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2003	31.104.840
Total Nacional	05 Canarias	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2002	29.101.803
Total Nacional	05 Canarias	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2001	27.237.439
Total Nacional	05 Canarias	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2000	24.986.123
Total Nacional	06 Cantabria	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2023 (A)	16.776.590
Total Nacional	06 Cantabria	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2022 (P)	15.540.457
Total Nacional	06 Cantabria	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021	14.206.538
Total Nacional	06 Cantabria	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2020	12.991.241
Total Nacional	06 Cantabria	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2019	14.274.351
Total Nacional	06 Cantabria	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2018	13.843.935
Total Nacional	06 Cantabria	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2017	13.318.023
Total Nacional	06 Cantabria	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2016	12.833.899
Total Nacional	06 Cantabria	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2015	12.443.843
Total Nacional	06 Cantabria	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2014	12.158.496
Total Nacional	06 Cantabria	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2013	11.944.124
Total Nacional	06 Cantabria	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2012	12.224.935
Total Nacional	06 Cantabria	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2011	12.680.314
Total Nacional	06 Cantabria	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2010	12.882.755
Total Nacional	06 Cantabria	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2009	12.811.684
Total Nacional	06 Cantabria	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2008	13.280.853
Total Nacional	06 Cantabria	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2007	12.838.674
Total Nacional	06 Cantabria	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2006	11.951.944
Total Nacional	06 Cantabria	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2005	11.148.678
Total Nacional	06 Cantabria	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2004	10.327.246
Total Nacional	06 Cantabria	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2003	9.699.398
Total Nacional	06 Cantabria	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2002	9.208.673
Total Nacional	06 Cantabria	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2001	8.636.331
Total Nacional	06 Cantabria	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2000	7.985.491
Total Nacional	07 Castilla y León	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2023 (A)	70.876.328
Total Nacional	07 Castilla y León	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2022 (P)	65.121.330
Total Nacional	07 Castilla y León	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021	59.465.900
Total Nacional	07 Castilla y León	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2020	54.794.589
Total Nacional	07 Castilla y León	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2019	59.649.198
Total Nacional	07 Castilla y León	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2018	58.326.859
Total Nacional	07 Castilla y León	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2017	55.879.293
Total Nacional	07 Castilla y León	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2016	54.630.532
Total Nacional	07 Castilla y León	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2015	53.183.396
Total Nacional	07 Castilla y León	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2014	51.383.670
Total Nacional	07 Castilla y León	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2013	51.280.425
Total Nacional	07 Castilla y León	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2012	52.589.720
Total Nacional	07 Castilla y León	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2011	54.328.993
Total Nacional	07 Castilla y León	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2010	54.692.531
Total Nacional	07 Castilla y León	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2009	54.452.146
Total Nacional	07 Castilla y León	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2008	56.295.496
Total Nacional	07 Castilla y León	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2007	55.130.537
Total Nacional	07 Castilla y León	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2006	51.563.915
Total Nacional	07 Castilla y León	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2005	48.377.632
Total Nacional	07 Castilla y León	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2004	45.368.864
Total Nacional	07 Castilla y León	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2003	42.711.006
Total Nacional	07 Castilla y León	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2002	40.240.849
Total Nacional	07 Castilla y León	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2001	37.939.899
Total Nacional	07 Castilla y León	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2000	35.666.620
Total Nacional	08 Castilla - La Mancha	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2023 (A)	53.929.118
Total Nacional	08 Castilla - La Mancha	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2022 (P)	49.675.613
Total Nacional	08 Castilla - La Mancha	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021	44.123.986
Total Nacional	08 Castilla - La Mancha	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2020	40.254.360
Total Nacional	08 Castilla - La Mancha	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2019	43.393.303
Total Nacional	08 Castilla - La Mancha	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2018	42.290.925
Total Nacional	08 Castilla - La Mancha	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2017	40.768.959
Total Nacional	08 Castilla - La Mancha	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2016	39.136.242
Total Nacional	08 Castilla - La Mancha	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2015	37.998.035
